inspection_id,restaurant_id,inspection_period_start_date,inspection_period_end_date,inspection_penalty_score,inspection_average_prev_penalty_scores,inspection_prev_penalty_score,cuisines,zip_code,review_count,non_positive_review_count,average_review_rating,review_contents
DA2383404,ZriNDCVxkCdVEO-X2sjHFw,2/6/12 0:00,10/2/12 0:00,0,22.38461538,35,"['Japanese', 'Restaurants']",98116,1,0,5,"We went here this past weekend with zero expectations of what we would find. What we had really blew us away: FABULOUS food, big portions, and very friendly service. The decor was lacking, but we did not even notice it once we dug into our yummy food. Everyone in our group ordered something different and all got rave reviews. I had the tofu asparagus, and the veggies were all super fresh, not overcooked and the tofu was really cooked prefectly. This will be an addition to our regular rotation of great places to eat in WS!PS - one of our friends said the food alone was worth the drive to West Seattle...and he is from Issaquah!"
DA2304227,ZriNDCVxkCdVEO-X2sjHFw,11/3/11 0:00,2/6/12 0:00,0,23.27272727,40,"['Japanese', 'Restaurants']",98116,3,0,4,"Lots of young families . Kind of sparse &#160;decor, but I really like places that don't have clientele that spend most of their time at a restaurant posturing. The same reason I tend to stay away from whole foods,is the reason I like low key places like this. Okay price, okay portions- but very low key. Our favorite teriyaki in West Seattle! Generous portions of fresh, tasty, reasonably-priced food. The staff is super friendly, too. Seattle has a lot of great teriyaki. &#160;This spot has quality beef and nice portions with the shrimp teriyaki. All and all worth a stop by. &#160;Destination spot, no. &#160;Swing by if you are in the hood and looking for a teriyaki, you bet."
DA2278690,ZriNDCVxkCdVEO-X2sjHFw,1/6/11 0:00,11/3/11 0:00,40,21.6,10,"['Japanese', 'Restaurants']",98116,7,0,4.428571429,"This place is a gem! My husband and I didn't have high expectations but we did have a coupon. We were pleasantly surprised.The staff here is very friendly. I always get smiles and pleasantry. My water cup is always filled (and big to being with) and service is fast. I love their shrimp tempura, tempura rolls and Philly rolls. Highly recommended, but parking is a little hairy. Looks like a dive, tastes divine! I wish someone would nominate their restaurant for some sort of makeover, because I live in fear this aptly named place will go out of business due to people judging a book by its cover. The good news is there's always plenty of seating!I love to order the Chicken Asparagus with Gyoza. I give all my chicken, half my rice, and some of my veggies to my four-year-old. He loves to go there and often requests it by name. The proprietors are so nice to him, always giving us an extra small plate so we can share, a steak knife so I can cut up his chicken, and a little cup with ice and a straw for the drink he loves to pick out from the refrigerated case. It's a very family-friendly restaurant in one of the best senses -- you don't have to be a family to eat there, and I see all types of groups and individuals come through, but the owners are welcoming to all. As far as noise level, even with us there, it's not a library, but it's pretty chill.My husband likes to alternate between the seafood teriyaki dishes and the tempura. The meat there (when I try a bite) is well seasoned and cooked to be just soft enough. The veggies always seem super fresh and vibrantly colored and retain a pleasant crunch. Nothing's overcooked, is what I'm saying.The rice and teriyaki sauce are good, too. Ha ha.It can be a little challenging to find street parking in the Junction, so we usually pass it up, turn around near Rite-Aid, and then find street parking on the correct side of the street just past the light and walk down. If you do have little kids, know that it's right next to a cool toy store and near the pet store. If you have a four-year-old, you'll understand the appeal. Plus, you could walk to Husky Deli or Cupcake Royale for dessert if anyone still has room.Seriously, this is my favorite teriyaki place to go to, and one of my favorite restaurants, period. Despite the decor. I thought I walked into a two lane bowling alley. Long narrow walk to the counter and I felt like asking for bowling shoes and a beer. My first reaction was oh great another mediocre teriyaki joint. The place was fairly empty but the sun was shining and people were enjoying places with decks or views. I ordered the premium chicken and pork combo and was pleasantly surprised by how good the sauce was and the quality of the meat. Honestly this was some of the best teriyaki I have had in Seattle. Not sure it would be my #1 place in Seattle but definitely my top five for sure. The only reason I didn't give it five stars was because I didn't much care for my salad and the interior needs a make over. (looked clean though) This is the type of place I wish I lived close too. You know- sometimes (especially if you spend a significant amount of time trying[maybe failing sometimes] to be considerate of others) &#160;I don't think I have any preferences or implicit expectations. I do. &#160;This place is popular with faaamilies. Not children and parents. BABIES and parents. &#160;I had forgotten how their sudden shrieks ( hey I get it- they can't speak and they may want to be moved slightly, burped, changed, fed I understand the function and necessity) &#160;can fully derail thoughts.Now it is a rather big place so this wasn't a huge deal. However as a student I generally expect noise to be background adult conversations, music or sounds of the open air kitchen/Mongolian grill.It was tasty, but as someone else said the portions (aside from the rice) were not generous. But it was quick without being fries or over priced starbucks sandwich and I will drink the free tea for as long as I can occupy the space without feeling guilty. Best Teriyaki In West Seattle! &#160;Food is fresh, Cooked perfectly, and service is very friendly and fast. Everything you could ask for in a local teriyaki place. I recommend the chicken teriyaki, chicken Katsu, and the combo meals are also great. Salad and and egg rolls are tasty as well! I have not tried much else simply because the staples are to good to try something new. Good prices, good food, fast take out! I didn't initially want to eat here, because as other reviews have stated the ambiance leaves quite a bit to be desired. &#160;But there's something about the way they marinade the meat with the perfect combo of savory/sweet that keep bringing me back. &#160;The teriyaki is always perfectly cooked, and maybe they brine the chicken in advance, but the chicken is always flavorful and juicy. &#160;I usually order the combo w/spicy chicken &amp; pork - I've ordered beef in the past but I think the chicken has more flavor. &#160;I've ordered the sesame chicken, chicken bento w/CA rolls, tempura, and masago rolls in the past and have never been disappointed by any of the dishes.5 stars for the food and 5 for the staff - very nice and friendly. &#160; Only 2 stars for ambiance. &#160;But I'm Asian, so who cares about ambiance and service? &#160; I'm all about the food.Comment on portions and value - &#160; Maybe I don't eat as much as the other reviews? &#160; It's good food with fast service but it's not fast food, so don't expect the McD dollar value menu. &#160; Unless you normally eat 2K+ calories for dinner and expect 5 portions of meat for less than $10, I don't understand the comments. &#160;I thought portions were quite generous! &#160;I usually don't finish all my food in 1 sitting. I'm probably the only person on here who isn't hugely impressed with their Teriyaki, specifically. However, their chicken katsu is to DIE for! It's tender and perfectly cooked, beautifully crispy on the outside, and you get enough of it to stuff a moose! Their rice is usually pretty overcooked, but the portion sizes are huge and their side salad is delicious! I've always gotten really nice service there and while the decor isn't exactly attractive, if you're busy properly stuffing your face you hardly even notice."
DA2183562,ZriNDCVxkCdVEO-X2sjHFw,8/26/10 0:00,1/6/11 0:00,10,22.88888889,25,"['Japanese', 'Restaurants']",98116,3,1,3.333333333,"Honestly, my expectations were not that high. The decor looks miserable, the restrooms are right in the middle of the dining area, and they seemed to have an identity crisis - the menu was packed with all sorts of things you'd never expect a good teriyaki restaurant to have (udon? california rolls? korean BBQ short ribs? what?). Begrudgingly, I ordered a chicken teriyaki bento box (like in the picture someone else uploaded here) to satisfy my hunger.I've eaten at dozens of teriyaki restaurants in Washington, and I will state on the record that this place is in my top 5. The chicken was juicy and properly cooked - marinated in advance instead of having the sauce glaze over during cooking like some other places.I'm not a big fan of side salads with teriyaki, it's never really felt like a proper combination of flavor/texture to me. This time around it was no different, but I actually ended up starting and finishing my salad (a rarity) and even ENJOYING it. It's weird, but the way they cut their lettuce + awesomesauce dressing = palatable salad for me.Unless you're already in the area, I wouldn't recommend dining onsite as it's somewhat drab. Most people don't anyways - in the 20 minutes I was there, at least a dozen people came through to pickup their carryout orders. This place moves their product hardcore, and for good reason.P.S. Parking in the back! This place serves the best teriyaki in West Seattle. &#160;There are two main varieties that we get in Seattle. &#160;The traditional Japanese style which is broiled, then lathered with a soy based sweet sauce or the Korean derivation, that is grilled and covered in Korean BBQ inspired teriyaki sauce.The Korean variety is what Yummy serves. &#160;The meats are moist and well marinated before grilling. &#160;You can taste the difference. &#160;The complementary salad has a garlic miso based dressing that has a smooth and buttery texture, with a kick from the garlic. &#160;It actually inspires me to eat the salad.My favorite, the Spicy Teriyaki Chicken. &#160;You can't really go wrong with the bento combos either if you are in the mood for a little variety. &#160;This is not the best I've ever had but this is the best in the area, so it's become my go-to place when I crave some good teriyaki.Ambiance - none but it is clean. &#160;Parking is available in the alley but you will have to walk thru the kitchen. &#160;Again, clean. I stopped in to get dinner to go and was disappointed in the portion size - very stingy portions."
DA2142912,ZriNDCVxkCdVEO-X2sjHFw,2/25/10 0:00,8/26/10 0:00,25,22.625,0,"['Japanese', 'Restaurants']",98116,4,2,3.25,"Yep, like it says.My friend and I were on the run to catch the sunset at Alki and ducked in here for some quick to-go to take to the beach. Not 5 minutes passed before we had piping hot chicken teriyaki in our hungry little hands and it smelled so good we could barely make the drive without digging into it. It also came with a pretty big portion of salad in its own container and I've gotta say it hit the spot! You probably wouldn't want to come in here and sit down for dinner (the place is enormous but there are only about five tables and it was completely empty when we stopped in) but for takeout, it's clean and friendly and you can recycle your to-go box :) Yummy Teriyaki is underrated and easily overlooked. &#160;Like most people, I love a great Teriyaki and can find a lot of them overly salted with Soy Sauce. &#160;Yummy Teriyaki is the perfect balance of sweet and salty and they use quality cuts of chicken that are cooked to please anyone craving a good Teriyaki. &#160;I highly suggest getting the Chicken Bento Box as it offers a variety of Teriyaki Chicken, Tempura and California Rolls with a side of Cabbage Salad with a tasty Sesame Cream Dressing. &#160;The staff is really nice and it's a clean spot to eat. &#160;Don't be discouraged if you walk in the door and see no customers seated; most people order over the phone and pick-up for takeout. &#160;They have a nice variety on the menu and all of the dishes I have ordered I have been more than pleased with. &#160;Go give them a try, you will not be disappointed. Love this joint. My goto in WS for teriyaki. We ordered take out. I got the Teriyaki chicken plate, he got the short ribs plate. Rice looked like it sat in a rice cooker all day.Teriyaki sauce had way too much ginger, and wasn't a good value for the price."
DA2081169,ZriNDCVxkCdVEO-X2sjHFw,12/4/09 0:00,2/25/10 0:00,0,25.85714286,25,"['Japanese', 'Restaurants']",98116,1,1,2,"i recently ate here....next time you'll have to order two meals....one for me and one for the person holding the gun to my head.....i ordered the spicy beef teriyaki.....the beef was cut into huge big blocks,nor was it tender. it took them twenty plus minutes to get the food out. but........but on a good note the sauce was hot. i will be going around the corner to niko's teriyaki in the future."
DA2070387,ZriNDCVxkCdVEO-X2sjHFw,3/17/09 0:00,12/4/09 0:00,25,26,30,"['Japanese', 'Restaurants']",98116,1,1,3,"After my first 3 visits I boldly proclaimed that this was the best teriyaki spot in Seattle. My last 2 visits were so-so. I will probably try it again but am leery as I go by softball strike-out rules. But then again, I need a teriyaki fix every not and again so I may go with something familiar."
DA1961408,ZriNDCVxkCdVEO-X2sjHFw,9/4/08 0:00,3/17/09 0:00,30,25.2,38,"['Japanese', 'Restaurants']",98116,2,0,4,"The best teriyaki I have had in Seattle!!! &#160;Okay, full disclosure: I haven't been to more than a handful of places yet, but this *is* the best I've tried. &#160;I ordered the tofu teriyaki and expected what I have always gotten at teriyaki places: tofu with sauce and rice....that's it. &#160;But at Yummy, they piled on the vegetables, too. &#160;And, the sauce was more flavorful than I had previously had--peppery and delicious. &#160;One drawback: if you are a vegetarian, beware. &#160;I found a piece of beef hiding among the tofu and vegetables. &#160;It was a tiny piece, but a piece nonetheless. &#160;Luckily, I'm not vegetarian, but having formerly gone meatless and knowing a fair share of vegetarians, I know how that one piece of meat can be a deal-breaker. &#160;Me, I viewed it more as a bonus morsel. &#160;But the lesson here is that they probably use the same grill to cook both meat and non-meat items. Definitely not a fancy place but still worth a visit. You order at the counter and someone brings your food to your table. I ordered a tofu teriyaki plate and it was quite good. It was basically a huge mound of white rice (brown would be a good option although I'm not sure if they have it) and a stir fry of sliced tofu and vegetables with teriyaki sauce. It was way too much to eat. My only complaint is that there are no fountain drinks, everything is bottled. I don't know why that bothers me but it does."
DA1892158,ZriNDCVxkCdVEO-X2sjHFw,2/4/08 0:00,9/4/08 0:00,38,22,10,"['Japanese', 'Restaurants']",98116,1,1,3,"Clean joint, good selection of food, friendly people, fair prices. Keep in mind with all of my teriyaki place reviews are based off of how I like their spicy chicken (if available; automatic one-star if they don't have spicy chicken :P). Their spicy chicken isn't terribly spicy, but the cuts of meat are pretty decent, their rice is also good. Not a fan of whatever the dressing is that they use on their cabbage (I think that's what it is) side salad that comes with pretty much every menu item. Their tempura is tasty, I've had both the vegetable and prawn.I don't go there anymore as I'm not a fan of their spicy chicken, but since West Seattle (namely the Junction area) doesn't have a ton of teriyaki places this is one worth mentioning. If you're not a fan of spicy stuff I'm sure that their other menu items would be worth checking out. Also, if you order in it seems like you get a bigger portion than you do from a take-out order."
DAWE0JV4G,SgK8qSSDYakUVa8WUbE33w,2/7/12 0:00,2/7/13 0:00,0,0.5,0,"['Restaurants', 'Sandwiches']",98115,9,3,3.6,"LOVE THE BLUE SAUCERGreat baristas, food, coffee, ambience -- honestly, what more are you looking for?Best time to go is in the afternoons if you're looking for a place to settle down with your laptop to get some work done, or just trying to read a good book! Tried the place down the street... are they kidding me with that grocery store brand coffee? This is SEATTLE for god's sake!Blue Saucer every time! I've gone in several times since moving to the neighborhood and we've always had a great experience. The outdoor seating is nice in good weather, and the coffee has always been excellent. They even do a nice warmed cider for kids. We have always had great experiences with the baristas who are very kind to our children. I'm glad there's a coffee shop so near to the house that is this good. I've only been here a few times, but they've got to be doing something right to still be in business. &#160;I've lived 2 blocks away from this place for over 25 years and they've been able to remain longer than any other place on the corner there. I'm not a big coffee drinker, but if I was this is the place I'd be. It's probably not worth driving across the city to visit the Blue Saucer, but if you live in the neighborhood this is the place you should go. They've got some sweet Maple Leaf t-shirts too. It's a coffee shop with the feel of a breakfast nook, And a north Seattle Prius driving bike rack toting close knit Clientele. The coffee is good, But good luck with trying to order something to eat. The menu is far from self explanatory. While you decipher this instruction manual The locals look about casually Pretending not to be paying attention to this spectacle that has all the makings of a game show Called Stomp the alien. The barista is your host, reluctantly giving you clues To help you fill in the blanks that the menu failed to provide. All in all the coffee was good, The sandwich was delicious, And the service was fair. But if you've never been there before an ambiguous menu can create an uncomfortable experience. I came here 5-6 days a week for month, hoping to pin this place as my new coffee shop. No go. Here's my beef: I drink an americano with room and my drink still gets fudged. There are a couple great baristas here (the girl with the brown bob and the girl with long dark hair and glasses) but both of the baristas I see most frequently make substandard coffee and give crappy service. Either the shots get that burnt/bitter thing going on, there's no room (I always ask and politely, too) or both. I work in customer service too, so I try to cut people slack. It's harder work than a lot of people realize, but there's no excuse. The coffee (it's not Stumptown, people) in combination with the service (the blond haired barista is sooooo slow because she really likes to listen to herself talk) isn't worth it.So after coming here around 25 times, spending around $125-150 on coffee and pastries and having been served totally lame coffee (by the owner even, she's not delivering, why would her employees?) I'm not coming back. Instead, I've been walking the extra 10 blocks to Javasti and I haven't been disappointed by their coffee once. I just started coming in here, and with my extensive knowledge of coffee bean cultivation, roasting, brewing, and espresso preparation, I can say with an informed opinion that the new girl is super cute. Everything else seems fine too. I moved into the neighborhood last year. It took me a couple months before I finally decided to stop in and get coffee. Glad I did! Great coffee, friendly atmosphere, and delicious sandwiches.Their coffee is consistently delicious, but you sometimes have to wait a little longer than you would at a place like Stabucks. In my mind, totally worth it for the jump in quality. The same goes for their bagel sandwiches (which they make there). I crave those things pretty much every morning.The people who work there are nice and really take the time to get to know the customers. Everyone is very welcoming, you feel like part of a community when you are there (like it should feel in Maple Leaf!). I've met some great people who live in my neighborhood just sitting there sipping coffee.To sum up, don't wait to try this place like I did! Some people just don't know a good thing if its staring them in the face. This place is great. Never had any trouble with the cute blonde or a burnt bagel. Some people need a reality check. Right on the way to work, quick service, and a cute blonde barista. great drinks and a friendly atmosphere. A+ There is a girl who works on the weekends who won't utter a word to you - ignores your hello even! &#160;I'll still stop by, but I wish &#160;they were ALL friendly!"
