,inspection_id,"('also', 'order')","('back', 'try')","('beer', 'selection')","('can', 'not')","('capitol', 'hill')","('clam', 'chowd')","('come', 'back')","('crab', 'cake')","('customer', 'service')","('definitely', 'go')","('dim', 'sum')","('dining', 'experience')","('do', 'not')","('first', 'time')","('fish', 'chip')","('food', 'come')","('food.1', 'drink')","('food.2', 'good')","('food.3', 'great')","('food.4', 'really')","('food.5', 'service')","('french', 'toast')","('friday', 'night')","('fry', 'chicken')","('fry.1', 'rice')","('get', 'food')","('get.1', 'good')","('get.2', 'seat')","('get.3', 'table')","('give', 'place')","('give.1', 'star')","('go', 'back')","('go.1', 'get')","('go.2', 'place')","('go.3', 'wrong')","('goat', 'cheese')","('good', 'burger')","('good.1', 'food')","('good.2', 'good')","('good.3', 'pizza')","('good.4', 'place')","('good.5', 'price')","('good.6', 'service')","('good.7', 'thing')","('good.8', 'time')","('great', 'food')","('great.1', 'place')","('great.2', 'service')","('happy', 'hour')","('highly', 'recommend')","('hour', 'menu')","('ice', 'cream')","('indian', 'food')","('last', 'night')","('last.1', 'time')","('late', 'night')","('little', 'bit')","('long', 'time')","('look', 'forward')","('love', 'place')","('mac', 'cheese')","('make', 'feel')","('make.1', 'reservation')","('make.2', 'sure')","('mexican', 'food')","('much', 'good')","('next', 'time')","('noodle', 'soup')","('nothing', 'special')","('onion', 'ring')","('pad', 'thai')","('pike', 'place')","('place', 'eat')","('place.1', 'get')","('place.2', 'go')","('place.3', 'good')","('place.4', 'great')","('place.5', 'market')","('place.6', 'seattle')","('pretty', 'good')","('pretty.1', 'much')","('quality', 'food')","('really', 'enjoy')","('really.1', 'good')","('really.2', 'nice')","('really.3', 'want')","('recommend', 'place')","('red', 'mill')","('restaurant', 'seattle')","('saturday', 'night')","('serious', 'pie')","('service', 'friendly')","('service.1', 'good')","('service.2', 'great')","('sit', 'bar')","('small', 'plate')","('spring', 'roll')","('staff', 'friendly')","('take', 'order')","('taste', 'good')","('thai', 'food')","('time', 'get')","('time.1', 'go')","('tom', 'dougla')","('try', 'place')","('visit', 'seattle')","('wait', 'minute')","('wait.1', 'staff')","('want', 'go')","('want.1', 'try')","('west', 'seattle')","('wine', 'list')","('would', 'definitely')","('would.1', 'go')","('would.2', 'recommend')","('year', 'ago')"
0,DA1455198,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0,DA1455912,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,DA1456175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,DA1456178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,DA1456477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,DA1457629,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,DA1457870,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,DA1458292,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,DA1459764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,DA1460482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
