threshold,model_type,clf,parameters,MSE,auc-roc,p_at_1,p_at_2,p_at_5,p_at_10,p_at_20,cv_avg_precision
10,LR,"LogisticRegression(C=10, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='ovr', n_jobs=1,
          penalty='l2', random_state=None, solver='liblinear', tol=0.0001,
          verbose=0, warm_start=False)","{'C': 1e-05, 'penalty': 'l1'}",0.4706766917293233,0.5,0.9696969696969697,0.9848484848484849,0.9939759036144579,0.9969879518072289,0.8541353383458646,0.47969704758816
10,LR,"LogisticRegression(C=10, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='ovr', n_jobs=1,
          penalty='l2', random_state=None, solver='liblinear', tol=0.0001,
          verbose=0, warm_start=False)","{'C': 1e-05, 'penalty': 'l2'}",0.3804511278195489,0.6472358771420273,0.5757575757575758,0.5757575757575758,0.6204819277108434,0.6114457831325302,0.6330827067669172,0.5885335946185616
10,LR,"LogisticRegression(C=10, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='ovr', n_jobs=1,
          penalty='l2', random_state=None, solver='liblinear', tol=0.0001,
          verbose=0, warm_start=False)","{'C': 0.001, 'penalty': 'l1'}",0.3837593984962406,0.644185303514377,0.5757575757575758,0.6060606060606061,0.6265060240963856,0.6234939759036144,0.6406015037593985,0.5908367812413798
10,LR,"LogisticRegression(C=10, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='ovr', n_jobs=1,
          penalty='l2', random_state=None, solver='liblinear', tol=0.0001,
          verbose=0, warm_start=False)","{'C': 0.001, 'penalty': 'l2'}",0.3849624060150376,0.6463206142898634,0.5454545454545454,0.6363636363636364,0.6566265060240963,0.6265060240963856,0.631578947368421,0.592163711094306
10,LR,"LogisticRegression(C=10, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='ovr', n_jobs=1,
          penalty='l2', random_state=None, solver='liblinear', tol=0.0001,
          verbose=0, warm_start=False)","{'C': 0.1, 'penalty': 'l1'}",0.3873684210526316,0.6520331106593087,0.6363636363636364,0.6515151515151515,0.6807228915662651,0.6807228915662651,0.6451127819548872,0.6007729004674995
10,LR,"LogisticRegression(C=10, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='ovr', n_jobs=1,
          penalty='l2', random_state=None, solver='liblinear', tol=0.0001,
          verbose=0, warm_start=False)","{'C': 0.1, 'penalty': 'l2'}",0.38857142857142857,0.6501090981702005,0.7575757575757576,0.696969696969697,0.6686746987951807,0.6566265060240963,0.643609022556391,0.5922568135167283
10,LR,"LogisticRegression(C=10, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='ovr', n_jobs=1,
          penalty='l2', random_state=None, solver='liblinear', tol=0.0001,
          verbose=0, warm_start=False)","{'C': 1, 'penalty': 'l1'}",0.38706766917293234,0.6488242448446122,0.7272727272727273,0.7272727272727273,0.6626506024096386,0.6566265060240963,0.6300751879699248,0.5951861002193082
10,LR,"LogisticRegression(C=10, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='ovr', n_jobs=1,
          penalty='l2', random_state=None, solver='liblinear', tol=0.0001,
          verbose=0, warm_start=False)","{'C': 1, 'penalty': 'l2'}",0.38766917293233083,0.6482818399651467,0.7272727272727273,0.7121212121212122,0.6807228915662651,0.6475903614457831,0.631578947368421,0.5922593829430254
10,LR,"LogisticRegression(C=10, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='ovr', n_jobs=1,
          penalty='l2', random_state=None, solver='liblinear', tol=0.0001,
          verbose=0, warm_start=False)","{'C': 10, 'penalty': 'l1'}",0.38586466165413535,0.6477612184141738,0.7575757575757576,0.7121212121212122,0.6746987951807228,0.6506024096385542,0.6285714285714286,0.5918145427997669
10,LR,"LogisticRegression(C=10, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='ovr', n_jobs=1,
          penalty='l2', random_state=None, solver='liblinear', tol=0.0001,
          verbose=0, warm_start=False)","{'C': 10, 'penalty': 'l2'}",0.38646616541353385,0.6479351219866397,0.7272727272727273,0.7121212121212122,0.6807228915662651,0.6475903614457831,0.6285714285714286,0.5922597046283623
