features_group,model_type,clf,parameters,MSE,auc-roc,p_at_1,p_at_2,p_at_5,p_at_10,p_at_20,cv_avg_precision,accuracy,f1_score,precision,recall,feature_importances
BASE,LR,"LogisticRegression(C=10, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='ovr', n_jobs=1,
          penalty='l2', random_state=None, solver='liblinear', tol=0.0001,
          verbose=0, warm_start=False)","{'C': 1e-05, 'penalty': 'l1'}",0.4667705088265836,0.5,0.9473684210526315,0.9736842105263158,0.9895833333333334,0.9947916666666666,0.8363636363636363,0.467541844139974,0.5332294911734164,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
BASE,LR,"LogisticRegression(C=10, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='ovr', n_jobs=1,
          penalty='l2', random_state=None, solver='liblinear', tol=0.0001,
          verbose=0, warm_start=False)","{'C': 1e-05, 'penalty': 'l2'}",0.40809968847352024,0.6055549117108374,0.3684210526315789,0.5263157894736842,0.5625,0.625,0.5792207792207792,0.5454668604948189,0.5919003115264797,0.5304659498207885,0.5729032258064516,0.4938820912124583,"[0.016656807212045727, 0.008354140771613356, 2.0604862192574956e-05, 0.0014755845343420312, 0.00478806284710132, 0.00018937072634238236, -0.001207394126867841, -0.0022426152607116345, 0.00010444481838036881]"
BASE,LR,"LogisticRegression(C=10, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='ovr', n_jobs=1,
          penalty='l2', random_state=None, solver='liblinear', tol=0.0001,
          verbose=0, warm_start=False)","{'C': 0.001, 'penalty': 'l1'}",0.4164070612668744,0.6071611538515693,0.47368421052631576,0.5526315789473685,0.625,0.5833333333333334,0.5792207792207792,0.5476897942868173,0.5835929387331257,0.5406643757159222,0.5572609208972845,0.525027808676307,"[0.02507027581631578, 0.004311076836240085, -4.636528110266376e-06, 0.0009916218783503237, 0.0, 0.0, 0.0, 0.0, 0.00010721989297781443]"
BASE,LR,"LogisticRegression(C=10, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='ovr', n_jobs=1,
          penalty='l2', random_state=None, solver='liblinear', tol=0.0001,
          verbose=0, warm_start=False)","{'C': 0.001, 'penalty': 'l2'}",0.4273104880581516,0.6038490240698038,0.3684210526315789,0.5526315789473685,0.6354166666666666,0.609375,0.5766233766233766,0.5489329792904941,0.5726895119418484,0.527825588066552,0.5450236966824644,0.5116796440489433,"[0.03005653255481578, 0.005076351113959098, 0.0005117691015074762, -0.003327216435914313, 0.029882266100194337, 0.03289796380213042, -0.025282575440293772, -0.014314664746726005, 8.705120472748993e-05]"
BASE,LR,"LogisticRegression(C=10, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='ovr', n_jobs=1,
          penalty='l2', random_state=None, solver='liblinear', tol=0.0001,
          verbose=0, warm_start=False)","{'C': 0.1, 'penalty': 'l1'}",0.421079958463136,0.6031211786762962,0.3684210526315789,0.5526315789473685,0.6354166666666666,0.6041666666666666,0.5818181818181818,0.5506251927879083,0.5789200415368639,0.5341757610568638,0.5522565320665083,0.5172413793103449,"[0.030400750774444544, 0.004968626020477549, -1.1274373467746501e-06, -0.0047059801883632115, 0.03364316926281682, 0.07280376438403399, -0.00033068308169800076, -0.012140698116289204, 0.00010597733072058936]"
BASE,LR,"LogisticRegression(C=10, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='ovr', n_jobs=1,
          penalty='l2', random_state=None, solver='liblinear', tol=0.0001,
          verbose=0, warm_start=False)","{'C': 0.1, 'penalty': 'l2'}",0.42315680166147457,0.6028363225178253,0.42105263157894735,0.5526315789473685,0.6145833333333334,0.6145833333333334,0.5896103896103896,0.5485006016906322,0.5768431983385255,0.5291738879260544,0.5504807692307693,0.5094549499443827,"[0.03046157305289113, 0.004880655393058423, 0.0005929858002418531, -0.004756547268862877, 0.036268979865929134, 0.08151107802826275, -0.029337725460732163, -0.015504202224154209, 9.141805992940189e-05]"
BASE,LR,"LogisticRegression(C=10, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='ovr', n_jobs=1,
          penalty='l2', random_state=None, solver='liblinear', tol=0.0001,
          verbose=0, warm_start=False)","{'C': 0.5, 'penalty': 'l1'}",0.421079958463136,0.6026901035771651,0.3684210526315789,0.5526315789473685,0.625,0.5989583333333334,0.5844155844155844,0.5506554611365148,0.5789200415368639,0.5336400230017252,0.5523809523809524,0.5161290322580645,"[0.030471744609229755, 0.004955505723881098, -1.6217043382203185e-06, -0.005120941313716967, 0.035373218107079316, 0.08551244612324961, -0.00032997265439581444, -0.012581520683904073, 0.00010785456731940497]"
BASE,LR,"LogisticRegression(C=10, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='ovr', n_jobs=1,
          penalty='l2', random_state=None, solver='liblinear', tol=0.0001,
          verbose=0, warm_start=False)","{'C': 0.5, 'penalty': 'l2'}",0.42315680166147457,0.6028460704472025,0.42105263157894735,0.5263157894736842,0.6145833333333334,0.6145833333333334,0.5896103896103896,0.5489372819343797,0.5768431983385255,0.5291738879260544,0.5504807692307693,0.5094549499443827,"[0.030470390826279906, 0.004875954131284941, 0.0005937219013574744, -0.0047830774198622935, 0.03637715092863944, 0.08282768413151297, -0.029376123171126083, -0.015524164890484228, 9.161041520018985e-05]"
BASE,LR,"LogisticRegression(C=10, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='ovr', n_jobs=1,
          penalty='l2', random_state=None, solver='liblinear', tol=0.0001,
          verbose=0, warm_start=False)","{'C': 1, 'penalty': 'l1'}",0.4205607476635514,0.6026478625498634,0.3684210526315789,0.5526315789473685,0.625,0.5989583333333334,0.5844155844155844,0.5507158696719705,0.5794392523364486,0.5339470655926352,0.5530393325387366,0.5161290322580645,"[0.030482614348203305, 0.004952397397329541, 1.5671597966088725e-06, -0.005170090741619285, 0.035593245239651176, 0.0870900547781849, -0.0004884840623082638, -0.012647307871106808, 0.00010795802134950043]"
BASE,LR,"LogisticRegression(C=10, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='ovr', n_jobs=1,
          penalty='l2', random_state=None, solver='liblinear', tol=0.0001,
          verbose=0, warm_start=False)","{'C': 1, 'penalty': 'l2'}",0.42315680166147457,0.6028341563112969,0.42105263157894735,0.5263157894736842,0.6145833333333334,0.6145833333333334,0.5896103896103896,0.5493195242983668,0.5768431983385255,0.5291738879260544,0.5504807692307693,0.5094549499443827,"[0.03047038013991248, 0.00487555125950981, 0.0005937665094506722, -0.004786138363514308, 0.03638959690745166, 0.08294577594121907, -0.029378518069307268, -0.015525206022144938, 9.162265713853065e-05]"
BASE,LR,"LogisticRegression(C=10, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='ovr', n_jobs=1,
          penalty='l2', random_state=None, solver='liblinear', tol=0.0001,
          verbose=0, warm_start=False)","{'C': 10, 'penalty': 'l1'}",0.4205607476635514,0.6026229511747879,0.3684210526315789,0.5526315789473685,0.625,0.5989583333333334,0.5844155844155844,0.5507612737007295,0.5794392523364486,0.5339470655926352,0.5530393325387366,0.5161290322580645,"[0.030491170855207774, 0.004950227694497017, -3.82147273308764e-08, -0.0052187931954177655, 0.035787697823068516, 0.08853634529448993, -0.00041280468933315096, -0.012687634522431681, 0.0001082053177438687]"
BASE,LR,"LogisticRegression(C=10, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='ovr', n_jobs=1,
          penalty='l2', random_state=None, solver='liblinear', tol=0.0001,
          verbose=0, warm_start=False)","{'C': 10, 'penalty': 'l2'}",0.42315680166147457,0.6028298238982404,0.42105263157894735,0.5263157894736842,0.6145833333333334,0.6145833333333334,0.5896103896103896,0.5485430505569231,0.5768431983385255,0.5297172533179458,0.5503597122302158,0.5105672969966629,"[0.030469215500729407, 0.004875927388658636, 0.0005937039434392967, -0.004788400195758471, 0.0363985681272266, 0.08304026619185101, -0.02937551949245558, -0.015568776563842377, 9.165469449673585e-05]"
BASE+TM,LR,"LogisticRegression(C=10, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='ovr', n_jobs=1,
          penalty='l2', random_state=None, solver='liblinear', tol=0.0001,
          verbose=0, warm_start=False)","{'C': 1e-05, 'penalty': 'l1'}",0.4667705088265836,0.5,0.9473684210526315,0.9736842105263158,0.9895833333333334,0.9947916666666666,0.8363636363636363,0.467541844139974,0.5332294911734164,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
