threshold,model_type,clf,parameters,MSE,auc-roc,p_at_1,p_at_2,p_at_5,p_at_10,p_at_20
5,LR,"LogisticRegression(C=10, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='ovr', n_jobs=1,
          penalty='l2', random_state=None, solver='liblinear', tol=0.0001,
          verbose=0, warm_start=False)","{'C': 1e-05, 'penalty': 'l1'}",0.6330827067669172,0.5,0.9696969696969697,0.9848484848484849,0.9939759036144579,0.9969879518072289,0.9984962406015038
5,LR,"LogisticRegression(C=10, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='ovr', n_jobs=1,
          penalty='l2', random_state=None, solver='liblinear', tol=0.0001,
          verbose=0, warm_start=False)","{'C': 1e-05, 'penalty': 'l2'}",0.41593984962406017,0.634452902924341,0.696969696969697,0.6818181818181818,0.7530120481927711,0.7198795180722891,0.7518796992481203
5,LR,"LogisticRegression(C=10, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='ovr', n_jobs=1,
          penalty='l2', random_state=None, solver='liblinear', tol=0.0001,
          verbose=0, warm_start=False)","{'C': 0.001, 'penalty': 'l1'}",0.41984962406015036,0.629135547681165,0.7272727272727273,0.7424242424242424,0.7469879518072289,0.7469879518072289,0.7518796992481203
5,LR,"LogisticRegression(C=10, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='ovr', n_jobs=1,
          penalty='l2', random_state=None, solver='liblinear', tol=0.0001,
          verbose=0, warm_start=False)","{'C': 0.001, 'penalty': 'l2'}",0.4174436090225564,0.6281361707098634,0.7272727272727273,0.7121212121212122,0.7650602409638554,0.7409638554216867,0.7563909774436091
5,LR,"LogisticRegression(C=10, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='ovr', n_jobs=1,
          penalty='l2', random_state=None, solver='liblinear', tol=0.0001,
          verbose=0, warm_start=False)","{'C': 0.1, 'penalty': 'l1'}",0.41353383458646614,0.6359076749347767,0.8484848484848485,0.7878787878787878,0.7469879518072289,0.7710843373493976,0.7699248120300752
5,LR,"LogisticRegression(C=10, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='ovr', n_jobs=1,
          penalty='l2', random_state=None, solver='liblinear', tol=0.0001,
          verbose=0, warm_start=False)","{'C': 0.1, 'penalty': 'l2'}",0.4126315789473684,0.6345923055955764,0.8181818181818182,0.8181818181818182,0.7409638554216867,0.7620481927710844,0.7654135338345864
5,LR,"LogisticRegression(C=10, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='ovr', n_jobs=1,
          penalty='l2', random_state=None, solver='liblinear', tol=0.0001,
          verbose=0, warm_start=False)","{'C': 1, 'penalty': 'l1'}",0.41082706766917293,0.6328260192360111,0.7575757575757576,0.8181818181818182,0.7650602409638554,0.7530120481927711,0.7639097744360902
5,LR,"LogisticRegression(C=10, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='ovr', n_jobs=1,
          penalty='l2', random_state=None, solver='liblinear', tol=0.0001,
          verbose=0, warm_start=False)","{'C': 1, 'penalty': 'l2'}",0.41022556390977444,0.6326846696000935,0.7575757575757576,0.803030303030303,0.7590361445783133,0.7530120481927711,0.7669172932330827
5,LR,"LogisticRegression(C=10, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='ovr', n_jobs=1,
          penalty='l2', random_state=None, solver='liblinear', tol=0.0001,
          verbose=0, warm_start=False)","{'C': 10, 'penalty': 'l1'}",0.41022556390977444,0.631680814610023,0.8181818181818182,0.8181818181818182,0.7590361445783133,0.75,0.7593984962406015
5,LR,"LogisticRegression(C=10, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='ovr', n_jobs=1,
          penalty='l2', random_state=None, solver='liblinear', tol=0.0001,
          verbose=0, warm_start=False)","{'C': 10, 'penalty': 'l2'}",0.41022556390977444,0.6318420232856976,0.8181818181818182,0.8181818181818182,0.7590361445783133,0.75,0.7609022556390977
5,NB,GaussianNB(priors=None),{},0.5876691729323308,0.583772633464429,0.5757575757575758,0.36363636363636365,0.6445783132530121,0.6807228915662651,0.6917293233082706
10,LR,"LogisticRegression(C=10, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='ovr', n_jobs=1,
          penalty='l2', random_state=None, solver='liblinear', tol=0.0001,
          verbose=0, warm_start=False)","{'C': 1e-05, 'penalty': 'l1'}",0.4706766917293233,0.5,0.9696969696969697,0.9848484848484849,0.9939759036144579,0.9969879518072289,0.8541353383458646
10,LR,"LogisticRegression(C=10, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='ovr', n_jobs=1,
          penalty='l2', random_state=None, solver='liblinear', tol=0.0001,
          verbose=0, warm_start=False)","{'C': 1e-05, 'penalty': 'l2'}",0.3807518796992481,0.6475640792913158,0.5757575757575758,0.5757575757575758,0.6265060240963856,0.6144578313253012,0.631578947368421
10,LR,"LogisticRegression(C=10, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='ovr', n_jobs=1,
          penalty='l2', random_state=None, solver='liblinear', tol=0.0001,
          verbose=0, warm_start=False)","{'C': 0.001, 'penalty': 'l1'}",0.3837593984962406,0.6447051989544003,0.5757575757575758,0.6060606060606061,0.6325301204819277,0.6265060240963856,0.637593984962406
10,LR,"LogisticRegression(C=10, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='ovr', n_jobs=1,
          penalty='l2', random_state=None, solver='liblinear', tol=0.0001,
          verbose=0, warm_start=False)","{'C': 0.001, 'penalty': 'l2'}",0.3843609022556391,0.6464730975893116,0.5454545454545454,0.6363636363636364,0.6566265060240963,0.6295180722891566,0.6285714285714286
10,LR,"LogisticRegression(C=10, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='ovr', n_jobs=1,
          penalty='l2', random_state=None, solver='liblinear', tol=0.0001,
          verbose=0, warm_start=False)","{'C': 0.1, 'penalty': 'l1'}",0.38466165413533837,0.6512717833284927,0.6363636363636364,0.6363636363636364,0.6807228915662651,0.6837349397590361,0.6451127819548872
10,LR,"LogisticRegression(C=10, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='ovr', n_jobs=1,
          penalty='l2', random_state=None, solver='liblinear', tol=0.0001,
          verbose=0, warm_start=False)","{'C': 0.1, 'penalty': 'l2'}",0.3867669172932331,0.6491862111530642,0.7575757575757576,0.696969696969697,0.6686746987951807,0.6596385542168675,0.6451127819548872
10,LR,"LogisticRegression(C=10, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='ovr', n_jobs=1,
          penalty='l2', random_state=None, solver='liblinear', tol=0.0001,
          verbose=0, warm_start=False)","{'C': 1, 'penalty': 'l1'}",0.38646616541353385,0.6477525050827766,0.7878787878787878,0.696969696969697,0.6867469879518072,0.6536144578313253,0.6345864661654136
10,LR,"LogisticRegression(C=10, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='ovr', n_jobs=1,
          penalty='l2', random_state=None, solver='liblinear', tol=0.0001,
          verbose=0, warm_start=False)","{'C': 1, 'penalty': 'l2'}",0.38766917293233083,0.6470086044147545,0.7272727272727273,0.696969696969697,0.6927710843373494,0.6506024096385542,0.631578947368421
10,LR,"LogisticRegression(C=10, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='ovr', n_jobs=1,
          penalty='l2', random_state=None, solver='liblinear', tol=0.0001,
          verbose=0, warm_start=False)","{'C': 10, 'penalty': 'l1'}",0.38766917293233083,0.646607065059541,0.696969696969697,0.7121212121212122,0.6867469879518072,0.6506024096385542,0.6285714285714286
10,LR,"LogisticRegression(C=10, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='ovr', n_jobs=1,
          penalty='l2', random_state=None, solver='liblinear', tol=0.0001,
          verbose=0, warm_start=False)","{'C': 10, 'penalty': 'l2'}",0.38766917293233083,0.6467708030787105,0.696969696969697,0.7272727272727273,0.6927710843373494,0.6506024096385542,0.6270676691729323
